RT @_omgjerry: Waiting for the Falcon Heavy Launch https://t.co/Sq2lhnVXXZ
RT @MAshemimry: Watch the SpaceX Falcon Heavy Rocket Launch Today via @NYTimes https://t.co/6eLdwPx9YA
Falcon Heavy Test Flight https://t.co/H22tUuRNJM via @YouTube
RT @nadezdanba: SpaceX запускает к Марсу (ну, почти) ракету Falcon Heavy, внутри нее — автомобиль Tesla (да!!!): Смотрите запуск прямо тут…
RT @_TomCross_: Checkout these stunning shots I took of Falcon Heavy today. These were taken from our closest posit… https://t.co/BUuPi7d3yp
@rrosenbl have fun watching the Falcon Heavy launch ! stay safe
RT @SpaceX: All systems remain go for today’s test flight of Falcon Heavy. Weather is 90% favorable for today’s two-and-a-half hour launch…
RT @pictoline: El día ha llegado: el Falcon Heavy, el cohete más potente en la actualidad, despegará hoy

Y si su misión tiene éxito, podrí…
Ich mag das @YouTube-Video: https://t.co/TBnw8LdT9I Falcon Heavy Animation
.@SpaceX is launching the Falcon Heavy today, Tuesday, Feb. 6th at 3:45 PM ET from Launch Complex 39A at Kennedy Sp… https://t.co/umQlQ4K8eJ
#RT ECONdailycharts: The Falcon Heavy has just launched. Why this rocket is so important https://t.co/BD6xQv6wYp https://t.co/D7i66bhUuI
WATCH LIVE: SpaceX launches the Falcon Heavy https://t.co/EXKQdW51Ib via @YouTube #FalconHeavy @ElonMusk #SpaceX
RT @elonmusk: Falcon Heavy sends a car to Mars https://t.co/Y7uBtU6Mt2
Falcon Heavy er GO kl. 20.45 https://t.co/t0Qjcq9052
Falcon Heavy is launching from the same pad that brought Neil Armstrong and co. to the moon in ‘69. But instead of… https://t.co/EW7jdo1Uba
RT @CBSNews: Ahead of SpaceX's historic Falcon Heavy launch Tuesday, Elon Musk says he's sending a Tesla Roadster with the rocket "just for…
@dirtybiology tu sais à quelle heure est prévu le tir de la Falcon heavy ?
RT @elonmusk: About 2.5 hours to T-0 for Falcon Heavy. Watch sim for highlight reel of what we hope happens. Car actually takes 6 months to…
RT @SpaceX: All systems remain go for today’s test flight of Falcon Heavy. Weather is 90% favorable for today’s two-and-a-half hour launch…
RT @elonmusk: About 2.5 hours to T-0 for Falcon Heavy. Watch sim for highlight reel of what we hope happens. Car actually takes 6 months to…
My space boner when Falcon heavy lifts off @elonmusk https://t.co/EYalnPviQY
RT @WFTV: UPDATE: @SpaceX
 Falcon Heavy rocket launch now set for 3:45 p.m. The window closes at 4 p.m. 
https://t.co/lLj1AMjhQo https://t.…
Is this really going to happen??? With a car 🚀 @astro_timpeake around the sun??? #FalconHeavy https://t.co/6OhYIpjnQR
